Intellectual property right :Patent

Indicator :4a- Patent publications by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Malaysia","MY","Total","11 - Analysis of biological materials","","1","","3","4","1","1","1","2","5","6","13","8","14","13","19","5","6","6","2","8","12","14","7","7",
"Malaysia","MY","Total","12 - Control","2","1","2","3","15","12","11","19","12","9","8","17","21","14","23","29","17","24","21","12","8","21","34","22","22",
"Malaysia","MY","Total","13 - Medical technology","1","1","2","7","10","18","17","29","19","27","35","48","59","43","56","62","39","45","46","45","48","60","76","61","48",
"Malaysia","MY","Total","14 - Organic fine chemistry","3","4","9","6","13","15","8","12","12","20","26","31","28","27","37","35","35","28","15","19","30","15","33","40","14",
"Malaysia","MY","Total","15 - Biotechnology","","3","1","6","11","8","10","18","13","24","56","49","56","49","71","57","51","59","53","22","29","33","66","36","23",
"Malaysia","MY","Total","16 - Pharmaceuticals","2","2","11","10","9","6","9","14","24","26","55","53","74","60","68","63","65","87","78","41","47","47","65","51","34",
"Malaysia","MY","Total","17 - Macromolecular chemistry, polymers","4","3","6","5","4","12","3","17","10","10","14","20","24","31","38","36","35","42","30","28","32","47","65","47","32",
"Malaysia","MY","Total","18 - Food chemistry","2","7","4","10","4","8","14","17","11","36","46","44","41","51","43","51","39","54","46","26","33","31","40","16","17",
"Malaysia","MY","Total","19 - Basic materials chemistry","8","9","9","9","17","22","37","26","18","26","42","54","62","54","80","50","64","66","46","51","52","60","100","75","50",
"Malaysia","MY","Total","20 - Materials, metallurgy","2","4","7","3","10","8","8","12","3","7","14","20","26","15","16","19","19","18","23","28","25","25","39","20","23",
"Malaysia","MY","Total","21 - Surface technology, coating","1","","1","","4","1","4","6","6","5","8","21","24","12","17","15","14","26","19","9","12","19","29","17","14",
"Malaysia","MY","Total","22 - Micro-structural and nano-technology","","","","","","","","","3","5","1","4","5","4","8","5","3","5","9","6","","3","3","3","2",
"Malaysia","MY","Total","23 - Chemical engineering","2","6","8","7","9","6","10","30","11","18","27","29","54","29","28","28","44","35","29","20","24","35","67","47","40",
"Malaysia","MY","Total","24 - Environmental technology","6","7","7","6","6","9","9","9","5","9","8","20","28","19","28","17","21","23","25","16","18","26","56","38","25",
"Malaysia","MY","Total","25 - Handling","5","","14","19","15","20","19","52","26","34","35","30","40","35","38","37","30","39","28","26","27","34","44","49","50",
"Malaysia","MY","Total","26 - Machine tools","7","5","3","8","8","10","17","16","4","9","7","19","11","16","23","9","16","17","19","8","6","32","37","20","8",
"Malaysia","MY","Total","27 - Engines, pumps, turbines","1","1","23","4","21","7","8","8","7","11","15","20","16","16","20","19","11","16","9","11","10","12","14","18","23",
"Malaysia","MY","Total","28 - Textile and paper machines","2","1","3","5","2","7","6","4","4","6","5","11","6","7","6","6","10","16","9","10","7","16","13","9","8",
"Malaysia","MY","Total","29 - Other special machines","1","12","18","9","17","14","26","40","26","28","43","50","43","43","59","53","68","70","69","59","69","73","105","69","38",
"Malaysia","MY","Total","30 - Thermal processes and apparatus","3","5","18","10","3","5","11","16","11","6","7","14","10","14","16","26","25","12","22","16","19","33","35","27","16",
"Malaysia","MY","Total","31 - Mechanical elements","","3","5","5","8","8","15","24","17","22","22","11","16","19","20","16","16","24","19","17","13","22","31","27","26",
"Malaysia","MY","Total","32 - Transport","4","4","6","5","8","4","16","23","12","14","26","27","26","28","26","17","28","35","38","30","21","19","27","31","15",
"Malaysia","MY","Total","33 - Furniture, games","5","12","7","25","19","21","42","59","31","43","28","36","29","18","24","21","17","22","21","20","21","20","29","18","10",
"Malaysia","MY","Total","34 - Other consumer goods","6","8","11","7","15","15","20","29","16","19","23","22","22","20","27","23","17","24","23","21","24","40","39","34","13",
"Malaysia","MY","Total","35 - Civil engineering","10","16","18","9","21","21","34","57","26","40","53","68","51","64","57","69","59","45","53","37","23","69","70","65","46",
"Myanmar","MM","Total","1 - Electrical machinery, apparatus, energy","","","","","","","","","","2","","2","","","","","","","","","","","","","",
"Myanmar","MM","Total","6 - Computer technology","","","","","","","","","","","","","","","","","","","","","","","","1","1",
"Myanmar","MM","Total","7 - IT methods for management","","","","","","","","","","","","","","","","","","","","1","","","","1","",
"Myanmar","MM","Total","10 - Measurement","","","","","","","","","1","","","","","","","","","","","","","","","","",
"Myanmar","MM","Total","13 - Medical technology","","","","","","","","","","","","","","","","","","","","","","","1","","",
"Myanmar","MM","Total","14 - Organic fine chemistry","","","","","","","","","","","","1","","","","","","","","","","","","","",
"Myanmar","MM","Total","16 - Pharmaceuticals","","","","","","","","1","","","","","","","","","","","","","","","","","",
"Myanmar","MM","Total","18 - Food chemistry","","","","","","","","","","","","","1","","","","","","","","","","","","",
"Myanmar","MM","Total","20 - Materials, metallurgy","","","","","","","","","","","","1","1","","","","","","","","","","","","",
"Myanmar","MM","Total","29 - Other special machines","","","","","","","","","","","","","1","","","","","","","","","","","","",
"Myanmar","MM","Total","33 - Furniture, games","","","","","","","","","","","","","","","","","","1","","","","1","","","",
"Myanmar","MM","Total","35 - Civil engineering","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Philippines","PH","Total","Unknown","","","","","","1","","","","1","","","","","","","","","","","","","5","","",
"Philippines","PH","Total","1 - Electrical machinery, apparatus, energy","2","2","1","1","2","2","1","2","1","4","","3","2","15","19","17","25","18","21","21","10","22","12","11","10",
"Philippines","PH","Total","2 - Audio-visual technology","","1","1","2","2","1","1","","2","2","4","4","4","4","7","6","6","4","5","3","2","3","4","1","2",
"Philippines","PH","Total","3 - Telecommunications","","","","","","1","","","1","3","1","1","1","6","7","5","7","3","3","4","1","3","1","1","2",
"Philippines","PH","Total","4 - Digital communication","","","","","4","2","1","1","2","2","1","3","8","10","7","4","10","8","6","11","8","5","7","6","6",
"Philippines","PH","Total","5 - Basic communication processes","","","","","","","","","","","","","1","1","3","1","1","","","","1","","","","1",
"Philippines","PH","Total","6 - Computer technology","","1","6","1","2","4","2","","3","3","5","5","6","11","10","15","28","17","10","13","12","18","17","15","12",
"Philippines","PH","Total","7 - IT methods for management","","1","2","2","5","4","3","5","5","5","3","7","5","7","13","20","20","24","20","18","20","21","17","14","15",
"Philippines","PH","Total","8 - Semiconductors","","","6","2","1","2","7","1","3","8","4","4","4","1","2","9","8","11","13","16","9","12","9","12","5",
"Philippines","PH","Total","9 - Optics","","","","","1","2","1","3","2","2","2","4","22","7","20","19","7","3","2","4","3","1","3","3","2",
"Philippines","PH","Total","10 - Measurement","","","1","","1","","1","1","1","","","3","1","3","7","8","10","6","11","8","13","10","15","10","9",
"Philippines","PH","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","","2","2","1","","2","2","1","4","4","5","2",
"Philippines","PH","Total","12 - Control","","1","1","1","","","1","2","1","2","1","","1","3","6","16","8","7","9","11","9","24","14","10","9",
"Philippines","PH","Total","13 - Medical technology","2","2","2","2","2","4","2","2","5","7","2","2","8","14","21","30","23","15","14","25","15","28","28","13","9",
"Philippines","PH","Total","14 - Organic fine chemistry","1","5","2","","","1","","1","2","1","","","2","2","","4","4","8","3","3","4","3","7","5","1",
"Philippines","PH","Total","15 - Biotechnology","","","","","","1","","","2","1","2","","3","5","7","10","10","2","10","10","5","14","15","12","5",
"Philippines","PH","Total","16 - Pharmaceuticals","","3","7","4","4","9","3","","1","","1","2","3","","9","25","13","13","11","12","7","16","22","19","19",
"Philippines","PH","Total","17 - Macromolecular chemistry, polymers","","","","","","","","","","","3","","","","","3","2","1","3","1","3","2","5","3","2",
"Philippines","PH","Total","18 - Food chemistry","","","","1","3","3","7","2","7","2","7","2","3","14","13","16","19","23","25","17","37","45","41","89","50",
"Philippines","PH","Total","19 - Basic materials chemistry","1","","","1","","1","2","","","","4","1","8","6","7","14","18","16","6","16","13","16","27","30","16",
"Philippines","PH","Total","20 - Materials, metallurgy","","","1","","","","","","1","1","3","2","3","6","8","4","5","2","2","7","6","3","3","3","2",
"Philippines","PH","Total","21 - Surface technology, coating","","1","","","","4","2","6","1","4","3","","3","4","5","8","5","4","3","2","1","2","1","2","1",
"Philippines","PH","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","","","","","2","1","2","3","2","","1",
"Philippines","PH","Total","23 - Chemical engineering","","","1","","","","","","1","","","","4","7","8","9","13","9","8","13","14","12","10","13","7",
"Philippines","PH","Total","24 - Environmental technology","","","","","","","2","3","1","","1","1","3","6","6","3","17","12","6","10","17","16","6","4","6",
"Philippines","PH","Total","25 - Handling","1","","1","4","1","10","6","8","5","8","1","","5","9","10","11","8","13","7","3","6","7","10","7","2",
"Philippines","PH","Total","26 - Machine tools","","","2","2","1","","1","1","","1","","4","1","2","5","7","19","15","4","10","8","6","7","6","6",
"Philippines","PH","Total","27 - Engines, pumps, turbines","","1","5","6","5","6","6","7","3","11","5","3","5","9","12","18","18","16","6","17","15","11","9","9","11",
"Philippines","PH","Total","28 - Textile and paper machines","","","1","","1","1","","2","","1","1","","3","2","1","5","1","2","2","2","5","7","3","5","2",
"Philippines","PH","Total","29 - Other special machines","1","1","2","4","3","2","1","2","","3","2","1","3","8","15","22","20","17","19","22","28","41","25","29","19",
"Philippines","PH","Total","30 - Thermal processes and apparatus","","","","","","","1","","","1","","1","2","5","6","6","12","6","4","7","8","4","2","8","1",
"Philippines","PH","Total","31 - Mechanical elements","","","","","","1","","1","","2","1","2","2","8","6","11","5","4","3","2","4","4","1","2","2",
"Philippines","PH","Total","32 - Transport","","1","3","2","6","5","3","2","2","3","1","3","4","8","16","13","9","11","8","10","15","14","8","7","6",
"Philippines","PH","Total","33 - Furniture, games","","1","1","3","4","3","6","5","13","1","5","2","4","5","13","16","20","22","14","11","18","21","17","17","5",
"Philippines","PH","Total","34 - Other consumer goods","","1","3","2","2","2","3","1","1","1","","2","3","6","11","9","11","14","9","7","6","9","16","11","11",
"Philippines","PH","Total","35 - Civil engineering","","","2","1","1","","2","2","1","4","2","1","3","14","17","29","25","20","5","8","12","17","13","7","11",
"Republic of Korea","KR","Total","Unknown","","","","","","12","9","37","28","18","7","6","8","14","4","4","16","2","21","17","17","566","6876","122","",
"Republic of Korea","KR","Total","1 - Electrical machinery, apparatus, energy","4188","4749","5177","5920","6529","9803","14423","14456","11992","11144","11208","13978","14491","17097","18460","19516","19012","17910","17484","17723","19320","19060","22485","26367","28004",
"Republic of Korea","KR","Total","2 - Audio-visual technology","6360","5466","5810","6942","9520","13560","16623","16730","14264","11532","10733","11175","9784","10323","11309","11933","11355","10787","10323","10105","11468","12557","14207","14587","15427",
"Republic of Korea","KR","Total","3 - Telecommunications","5575","5751","5816","5869","7638","10450","13710","12380","10299","9422","8928","7470","6778","7087","7056","6369","6321","5951","5271","5251","5740","5477","5084","5128","4752",
"Republic of Korea","KR","Total","4 - Digital communication","3347","3620","3757","4664","5868","6549","8414","8737","7958","8199","8654","9011","9135","10503","11879","13048","14324","13171","12453","12608","13706","12661","13799","15456","15384",
"Republic of Korea","KR","Total","5 - Basic communication processes","1279","1151","1103","1132","1421","1476","1731","1765","1667","1481","1418","1389","1232","1231","1242","1306","1407","1279","1252","1239","1286","1223","1275","1195","1227",
"Republic of Korea","KR","Total","6 - Computer technology","5218","6457","6629","6184","7168","8685","10390","11997","12894","11660","11766","12599","13919","15122","18735","19510","17979","16691","16710","18116","20560","22261","25295","27508","27873",
"Republic of Korea","KR","Total","7 - IT methods for management","914","1144","1450","1057","1061","1254","3161","2944","2543","5615","4410","4203","4925","6315","6626","6600","6901","5913","5723","7049","8666","9385","10486","10194","9602",
"Republic of Korea","KR","Total","8 - Semiconductors","7608","7850","7909","8044","9512","12548","15559","16312","15415","14342","13419","13625","12591","12468","13084","11643","11700","10301","9312","11042","11892","12497","14050","11621","13062",
"Republic of Korea","KR","Total","9 - Optics","2682","2918","3699","5025","6344","8959","11102","11855","11208","6868","6400","6979","6739","6755","6583","6635","7639","7073","6631","6425","6194","5986","5438","6010","5710",
"Republic of Korea","KR","Total","10 - Measurement","1454","1793","1972","2161","2215","2525","2771","3170","3596","4054","4734","5115","5645","6651","6955","6964","7206","7889","7631","7884","8059","8382","9646","10227","10692",
"Republic of Korea","KR","Total","11 - Analysis of biological materials","78","122","127","173","194","242","218","345","364","539","646","671","677","751","802","779","908","1031","1173","1146","1203","1128","1264","1350","1269",
"Republic of Korea","KR","Total","12 - Control","866","1279","1162","1195","1360","1531","1785","1869","1638","2065","2234","2412","2436","2626","2670","2692","3474","3339","3486","3819","4649","4859","4649","4321","4370",
"Republic of Korea","KR","Total","13 - Medical technology","756","1138","1384","1589","1754","1807","1940","2344","2582","3097","3849","4485","4278","4913","5527","6038","7677","7452","7892","8800","9848","10926","11906","11766","11468",
"Republic of Korea","KR","Total","14 - Organic fine chemistry","883","1065","1194","1422","1466","1751","1634","1917","2016","2176","2495","2234","2261","2290","2685","3001","3738","4233","4236","4643","5176","5623","5429","5891","5186",
"Republic of Korea","KR","Total","15 - Biotechnology","510","769","1037","1113","1178","1232","1360","1619","1667","1966","2039","2075","2331","2630","2777","3039","3026","3327","3305","3584","4010","4256","4916","5029","4822",
"Republic of Korea","KR","Total","16 - Pharmaceuticals","589","774","988","1212","1280","1517","1368","1679","1811","2092","2418","2806","3223","3626","3775","3957","4278","4173","4159","4641","4915","5235","5760","5937","5269",
"Republic of Korea","KR","Total","17 - Macromolecular chemistry, polymers","784","959","1040","1178","1206","1317","1431","1712","1540","1470","1700","1635","1793","1890","2138","2344","2802","2880","3037","3051","3561","3946","4096","3809","3818",
"Republic of Korea","KR","Total","18 - Food chemistry","1227","1574","1800","1967","2337","2401","2111","2089","2127","2456","2637","3131","2846","3013","3222","3519","3653","3958","4391","4422","4462","4590","4962","4878","4653",
"Republic of Korea","KR","Total","19 - Basic materials chemistry","870","1122","1328","1483","1547","1787","2094","2069","1942","2349","2400","2664","2613","2930","3178","3596","3749","4190","3979","4162","4194","4204","4274","4257","4242",
"Republic of Korea","KR","Total","20 - Materials, metallurgy","1402","1939","2011","2211","2119","1852","1953","2103","2244","2495","2909","3016","3546","4079","4123","3938","4700","3475","3672","4178","4271","3892","4094","4218","4467",
"Republic of Korea","KR","Total","21 - Surface technology, coating","749","949","1070","1220","1294","1424","1637","1812","1701","2022","2180","2674","2865","2904","3336","3167","2910","2969","3083","3165","3524","3328","3569","3809","3921",
"Republic of Korea","KR","Total","22 - Micro-structural and nano-technology","21","44","83","165","208","236","326","433","422","622","818","635","492","495","490","428","263","228","177","169","178","201","214","232","204",
"Republic of Korea","KR","Total","23 - Chemical engineering","693","917","1063","1309","1386","1546","2032","2350","2292","2591","2989","3395","3831","3963","4073","4109","4278","4775","4656","4692","5187","5522","5787","5569","5221",
"Republic of Korea","KR","Total","24 - Environmental technology","1147","1442","1603","1714","1838","1969","2388","2386","2201","2702","2878","2929","3054","3132","3062","3218","3284","3260","3395","3432","3610","3742","3585","3351","3581",
"Republic of Korea","KR","Total","25 - Handling","1027","1363","1284","1634","1729","1787","1894","2105","2280","2490","3046","3253","3311","3790","3822","3875","4347","4555","4654","4764","5044","5328","5686","5902","5936",
"Republic of Korea","KR","Total","26 - Machine tools","1059","1633","1946","2257","2236","2055","2353","2404","2409","2963","3405","3550","3922","4321","4423","4316","3855","3817","3932","4058","4113","3996","4085","4210","4317",
"Republic of Korea","KR","Total","27 - Engines, pumps, turbines","1302","1986","2461","2592","2539","2821","2645","2443","2313","3068","3089","3366","3494","3886","3768","3900","3778","3660","3728","3653","3597","3199","2986","2771","2554",
"Republic of Korea","KR","Total","28 - Textile and paper machines","1242","1220","1168","1457","1619","1703","2117","2032","1717","1649","1719","1766","1828","1781","1930","1748","1802","1800","1779","1684","1826","1826","1910","1851","1896",
"Republic of Korea","KR","Total","29 - Other special machines","1513","1985","1982","2165","2357","2713","2789","3146","3084","3782","4374","4902","4961","5203","5174","5559","6128","6297","6512","6512","6849","7229","7427","6856","6508",
"Republic of Korea","KR","Total","30 - Thermal processes and apparatus","2030","2154","2493","2707","3320","3780","4427","3934","3641","3693","3975","3701","3688","3863","3935","3837","4013","3963","3851","3999","4397","4310","3769","3434","3657",
"Republic of Korea","KR","Total","31 - Mechanical elements","998","1551","1899","1773","1814","2312","2119","2571","2550","2832","2723","3100","3430","3878","4065","3746","4388","5383","4949","4890","5115","4884","4796","4697","4375",
"Republic of Korea","KR","Total","32 - Transport","1990","3494","5137","4825","5165","6680","5506","6342","6484","7135","6643","7034","8014","9656","10395","10572","11201","10181","9999","10247","10423","10986","11735","12255","11560",
"Republic of Korea","KR","Total","33 - Furniture, games","1120","1752","2106","2554","3121","3504","4185","3992","3704","4273","4600","4550","4807","5024","5041","4937","5315","5762","5519","5625","5871","6414","6334","5720","5186",
"Republic of Korea","KR","Total","34 - Other consumer goods","2184","2256","2440","3019","3951","4642","5047","5035","4667","5132","5651","5322","5313","5516","5405","5287","5982","6064","6099","6068","7061","8042","7696","7053","6916",
"Republic of Korea","KR","Total","35 - Civil engineering","1562","2139","2544","2857","3284","4277","6319","6255","4934","6943","7620","7883","7759","7954","7978","7977","7999","8134","8134","8210","8623","8695","7802","7141","7076",
"Singapore","SG","Total","Unknown","","","","","","1","1","1","","3","","2","","2","","1","8","","","","","30","475","5","",
"Singapore","SG","Total","1 - Electrical machinery, apparatus, energy","22","45","58","79","96","139","190","206","195","217","171","192","218","297","312","396","421","356","364","334","395","464","489","542","518",
"Singapore","SG","Total","2 - Audio-visual technology","64","79","118","123","122","189","234","254","282","413","459","430","420","464","413","526","534","513","584","494","568","472","444","442","541",
"Singapore","SG","Total","3 - Telecommunications","29","41","69","96","93","132","154","160","141","150","137","146","131","142","200","185","160","188","222","219","324","212","243","377","319",
"Singapore","SG","Total","4 - Digital communication","23","37","85","91","139","154","140","132","134","123","132","158","197","260","351","450","436","459","520","748","1143","1218","1296","1824","1760",
"Singapore","SG","Total","5 - Basic communication processes","26","42","56","59","67","95","148","148","128","113","87","126","142","162","145","122","114","132","108","103","133","95","140","158","236",
"Singapore","SG","Total","6 - Computer technology","75","103","189","229","281","381","416","580","492","428","436","416","443","518","605","890","819","955","811","776","913","1291","1453","1359","1136",
"Singapore","SG","Total","7 - IT methods for management","8","32","55","66","51","56","43","50","64","68","66","47","76","86","129","160","230","246","247","201","234","305","267","210","173",
"Singapore","SG","Total","8 - Semiconductors","151","306","387","332","356","452","361","531","480","619","577","621","690","648","637","681","541","450","444","440","452","464","620","759","884",
"Singapore","SG","Total","9 - Optics","18","35","62","104","84","136","179","154","99","117","87","111","120","113","145","150","184","199","650","603","631","406","220","201","200",
"Singapore","SG","Total","10 - Measurement","46","51","60","73","82","122","187","338","199","178","184","164","150","223","190","285","318","316","295","280","294","346","422","424","419",
"Singapore","SG","Total","11 - Analysis of biological materials","6","18","19","13","16","26","30","49","44","50","39","44","52","59","97","94","81","99","84","89","83","85","108","91","67",
"Singapore","SG","Total","12 - Control","21","26","36","39","53","62","55","53","47","42","37","40","50","68","80","91","86","103","116","91","93","125","156","131","101",
"Singapore","SG","Total","13 - Medical technology","21","26","33","37","62","91","96","135","129","146","159","203","176","186","225","267","295","332","284","352","377","436","425","482","386",
"Singapore","SG","Total","14 - Organic fine chemistry","5","10","16","8","14","22","38","43","52","75","86","98","110","80","89","98","109","94","104","91","95","116","131","120","111",
"Singapore","SG","Total","15 - Biotechnology","27","55","75","67","71","103","108","138","113","120","129","156","151","150","201","304","309","292","303","350","282","326","348","330","388",
"Singapore","SG","Total","16 - Pharmaceuticals","31","37","48","37","40","52","76","98","117","111","117","143","170","161","144","213","215","252","295","375","321","334","346","322","324",
"Singapore","SG","Total","17 - Macromolecular chemistry, polymers","8","5","6","11","15","14","23","31","39","35","34","43","33","38","46","69","77","120","87","68","76","90","63","65","51",
"Singapore","SG","Total","18 - Food chemistry","8","12","15","12","15","21","17","14","19","31","36","37","38","36","51","38","52","60","57","74","52","75","80","67","50",
"Singapore","SG","Total","19 - Basic materials chemistry","2","6","6","10","6","15","16","21","31","47","33","53","44","77","71","79","81","78","74","78","76","80","62","66","65",
"Singapore","SG","Total","20 - Materials, metallurgy","14","7","16","35","25","21","20","27","29","21","28","26","38","45","67","84","69","51","78","53","45","63","64","68","70",
"Singapore","SG","Total","21 - Surface technology, coating","24","18","28","36","39","54","36","29","30","46","42","61","79","111","81","72","64","78","78","68","72","73","70","49","60",
"Singapore","SG","Total","22 - Micro-structural and nano-technology","2","5","6","14","14","17","14","18","19","23","25","26","23","27","45","38","38","36","34","32","26","30","15","15","21",
"Singapore","SG","Total","23 - Chemical engineering","17","19","17","22","29","44","37","65","71","57","92","86","112","108","109","148","138","141","167","137","146","163","152","197","160",
"Singapore","SG","Total","24 - Environmental technology","9","4","5","12","21","23","18","27","34","23","28","30","51","65","73","52","58","56","59","51","69","64","62","78","62",
"Singapore","SG","Total","25 - Handling","20","40","38","46","23","33","37","68","62","61","63","45","58","57","77","81","83","65","108","78","96","119","123","97","90",
"Singapore","SG","Total","26 - Machine tools","17","40","39","54","58","71","51","55","42","52","45","42","47","58","57","62","47","53","71","54","72","60","50","38","41",
"Singapore","SG","Total","27 - Engines, pumps, turbines","12","7","6","13","20","28","32","39","31","47","43","36","72","42","48","54","54","37","63","62","54","61","46","52","51",
"Singapore","SG","Total","28 - Textile and paper machines","11","10","12","20","21","37","29","25","17","31","15","24","21","24","36","26","21","25","38","49","32","43","80","45","39",
"Singapore","SG","Total","29 - Other special machines","22","36","47","45","42","41","30","41","46","68","69","66","69","78","97","114","131","142","158","138","176","162","153","134","154",
"Singapore","SG","Total","30 - Thermal processes and apparatus","10","14","12","18","11","34","15","37","17","21","17","19","30","40","24","30","46","32","54","46","47","45","37","42","54",
"Singapore","SG","Total","31 - Mechanical elements","7","11","17","13","10","13","24","17","23","22","19","17","35","55","62","42","43","58","93","53","76","85","53","68","101",
"Singapore","SG","Total","32 - Transport","31","19","21","15","23","37","36","53","56","54","45","41","73","93","102","123","123","123","107","127","119","136","103","81","142",
"Singapore","SG","Total","33 - Furniture, games","18","21","20","31","20","35","35","52","37","37","32","34","39","36","68","68","80","71","94","74","77","83","116","138","103",
"Singapore","SG","Total","34 - Other consumer goods","29","22","32","31","37","34","42","41","30","30","35","37","48","60","64","98","91","62","64","65","80","87","83","93","83",
"Singapore","SG","Total","35 - Civil engineering","54","50","44","38","53","76","76","60","57","72","85","93","95","111","126","151","123","170","160","156","127","105","68","52","53",
"Thailand","TH","Total","Unknown","","","","","","","","1","","","","","","","","","","","","","","5","60","","",
"Thailand","TH","Total","1 - Electrical machinery, apparatus, energy","","","2","2","5","9","4","3","12","3","","9","13","22","12","5","14","15","45","35","24","33","30","55","37",
"Thailand","TH","Total","2 - Audio-visual technology","3","","2","1","7","6","","6","17","5","4","2","2","6","1","2","4","3","12","25","11","11","4","4","2",
"Thailand","TH","Total","3 - Telecommunications","","","","1","","","","1","1","2","","1","","5","6","","1","","","6","6","5","","1","2",
"Thailand","TH","Total","4 - Digital communication","","","","","1","","","1","","1","","2","1","1","4","1","2","1","5","3","7","5","4","3","7",
"Thailand","TH","Total","5 - Basic communication processes","","","","1","","","","","","2","","","1","2","2","","","1","1","2","","","","1","6",
"Thailand","TH","Total","6 - Computer technology","","1","2","","3","9","5","5","6","13","6","10","13","9","20","7","12","9","15","15","23","16","14","17","18",
"Thailand","TH","Total","7 - IT methods for management","","1","2","6","","4","","","","2","1","","4","4","7","3","3","7","13","10","22","9","5","7","2",
"Thailand","TH","Total","8 - Semiconductors","","","2","2","1","3","5","8","5","5","9","8","8","12","2","8","6","3","3","1","","1","5","","",
"Thailand","TH","Total","9 - Optics","","1","","","1","","1","1","","1","","","","4","","20","57","99","77","86","94","211","173","120","152",
"Thailand","TH","Total","10 - Measurement","","2","2","3","4","","1","","1","3","3","6","5","","4","5","7","15","9","12","13","17","15","15","15",
"Thailand","TH","Total","11 - Analysis of biological materials","","","","","4","1","","1","3","","2","2","2","2","","1","","1","","1","2","4","5","6","3",
"Thailand","TH","Total","12 - Control","","2","1","1","3","2","","","1","1","1","2","4","13","10","3","9","10","5","2","9","7","3","7","6",
"Thailand","TH","Total","13 - Medical technology","8","7","9","5","2","2","","4","6","1","3","5","11","18","18","14","9","10","7","15","19","22","43","17","32",
"Thailand","TH","Total","14 - Organic fine chemistry","","","","4","1","3","3","1","1","7","5","6","4","5","12","15","26","53","46","43","46","36","35","30","20",
"Thailand","TH","Total","15 - Biotechnology","","1","","","3","2","5","1","4","3","2","4","6","8","13","12","6","7","22","30","35","21","17","15","16",
"Thailand","TH","Total","16 - Pharmaceuticals","1","2","2","5","2","2","5","3","6","11","10","8","11","5","10","11","6","7","10","12","11","26","16","25","22",
"Thailand","TH","Total","17 - Macromolecular chemistry, polymers","","","","2","","","2","2","2","10","5","1","11","12","29","20","29","75","102","129","76","71","66","38","60",
"Thailand","TH","Total","18 - Food chemistry","3","4","4","","3","4","5","1","2","2","5","6","2","4","10","21","6","14","31","25","14","23","9","13","3",
"Thailand","TH","Total","19 - Basic materials chemistry","","1","1","1","2","2","1","3","2","2","2","6","4","7","9","14","10","13","23","25","27","23","29","34","19",
"Thailand","TH","Total","20 - Materials, metallurgy","","1","","2","2","","","2","4","5","2","4","3","6","9","16","14","28","19","23","14","18","13","7","8",
"Thailand","TH","Total","21 - Surface technology, coating","1","","1","1","2","4","1","4","1","5","5","4","7","2","11","9","7","11","14","16","10","12","19","9","11",
"Thailand","TH","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","","","1","2","1","1","","","2","","2",
"Thailand","TH","Total","23 - Chemical engineering","","","","","","6","1","3","2","2","5","5","6","6","9","16","20","46","63","50","31","33","26","21","16",
"Thailand","TH","Total","24 - Environmental technology","1","5","5","2","2","2","3","2","3","3","8","3","1","4","4","5","3","4","6","4","2","8","7","9","3",
"Thailand","TH","Total","25 - Handling","6","11","9","7","7","3","4","9","2","3","4","1","6","12","14","7","4","9","14","22","12","6","9","9","9",
"Thailand","TH","Total","26 - Machine tools","3","2","","1","7","5","5","5","2","9","8","8","5","4","6","4","11","5","5","6","10","10","9","11","12",
"Thailand","TH","Total","27 - Engines, pumps, turbines","1","3","4","2","1","4","6","2","4","3","3","9","13","8","14","8","18","18","11","10","5","6","6","15","16",
"Thailand","TH","Total","28 - Textile and paper machines","","1","","","1","2","","4","5","2","1","1","","","1","2","1","7","6","7","4","8","5","6","1",
"Thailand","TH","Total","29 - Other special machines","1","1","2","10","3","7","15","6","12","16","10","8","7","9","11","13","19","24","45","66","69","53","39","14","26",
"Thailand","TH","Total","30 - Thermal processes and apparatus","4","2","2","","","4","3","9","13","","2","4","8","6","17","9","11","11","8","14","13","15","9","7","4",
"Thailand","TH","Total","31 - Mechanical elements","7","15","3","3","8","9","9","10","2","8","14","9","22","3","4","8","9","11","10","8","9","10","14","5","8",
"Thailand","TH","Total","32 - Transport","3","4","7","7","25","21","3","13","6","8","28","8","19","9","6","16","16","34","31","19","16","20","30","18","17",
"Thailand","TH","Total","33 - Furniture, games","8","6","9","8","13","7","10","12","9","6","12","10","9","14","20","9","12","16","9","8","13","8","7","11","15",
"Thailand","TH","Total","34 - Other consumer goods","6","12","10","12","10","14","12","12","4","7","9","2","7","11","13","10","16","25","12","16","3","7","7","8","16",
"Thailand","TH","Total","35 - Civil engineering","4","11","4","6","5","15","3","10","12","12","10","3","2","7","16","10","16","15","17","30","15","22","13","17","5",
"Viet Nam","VN","Total","1 - Electrical machinery, apparatus, energy","","","","","","","","2","1","","2","","","","1","2","","1","3","","2","6","2","3","1",
"Viet Nam","VN","Total","2 - Audio-visual technology","","","","","","","","","","","","1","","","1","1","5","","","","2","1","1","1","1",
